,title,org,desc
81,Case Aide - Benefits Coordination (AmeriCorps),Housing Forward,The case aide assists program clients with basic needs in the day-time Support Center and provides support to the program’s case...
82,Outreach and Engagement Specialist (AmeriCorps),Housing Forward,"Job Summary: The outreach and engagement specialist is responsible for 1) intake, assessment, and referral services to clients in the..."
83,Internship NAMI CCNS,NAMI COOK COUNTY NORTH SUBURBAN,Be an intern for a mental health nationwide non-profit! Learn about the programs/events of NAMI CCNS.
84,Outreach Volunteer,Open Communities,"In partnership with the Senior Housing Counselor, the Outreach Volunteer will spearhead all initiatives engaging participants through..."
85,Event Ambassadors,The Center of Concern,Looking for enthusiastic and friendly individuals looking to give back for a great cause! Promote and distribute flyers/brochures at...
86,Curriculum and Design Volunteer Opportunity,Open Communities,"In Partnership with the Senior Housing Counselor, the Curriculum and Design volunteer will spearhead our trainings and workshops..."
87,Data and Policy Volunteers,Open Communities,"In partnership with the Compliance and Reporting Analyst, the Data and Policy Volunteer will spearhead all initiatives regarding..."
88,Help Maintain Our Closet for the Homeless and Needy,Catholic Charities Service Center,"We provide a closet that offers clothing, toiletries and other necessities to the homeless and the needy. We're in need of caring..."
89,"Fashion merchandise photographer, Glencoe",NORTH SHORE EXCHANGE,"Become part of the team that has successfully raised over $1,800,000 for Chicago charities serving children and families! We are seeking..."
90,Board of Directors Member,The Center of Concern,"The Center of Concern is seeking community leaders who will support and promote the Center's mission - to empower seniors, disabled..."
91,Food Pantry,Greater Hammond Community Services,Our Food Pantry provides a three to five day supply of food to families in need every 30 days. We have food pantry volunteer...
92,Niles Resale Store,WINGS Program,"Do you LOVE shopping for clothing, accessories, shoes, books, household items? Put that knowledge to a great cause by joining our team at..."
93,Receptionist -Monday Morning and/or Tuesday Afternoons,The Center of Concern,"Be the first friendly face to welcome guests by greeting them at our front desk. Duties would include answering phones, taking detailed..."
94,Resale Store Volunteers Worth,Crisis Center for South Suburbia,"Volunteers are needed to sort and prepare donations for resale, operate cash register and provided customer service. You must be able to..."
95,clothing intake,Poised For Success,-2ND SATURDAY OF EACH MONTH -FROM 10:00AM to 1:00PM We are in need of guys & gals to volunteer (individuals or groups) to help...
96,Fashion Intake & Pricing Specialist,NORTH SHORE EXCHANGE,"North Shore Exchange (https://northshoreexchange.org), the award-winning, nonprofit luxury resale shop, is opening a third location in..."
97,Home Accessories Intake & Pricing Specialist,NORTH SHORE EXCHANGE,"North Shore Exchange (https://northshoreexchange.org), the award-winning, nonprofit luxury resale shop, is opening a third location in..."
98,Administrative Assistant,"Northwest Compass, Inc.","Experience and Skills Required: Looking for a full or part time volunteer who is motivated, project oriented, and has good communication..."
99,"Special Spaces Dream Room Makeover Designer-Chicago, Cook County",Special Spaces,Where does a child go when battling a series illness to find peace and comfort? They aren't going to school or play dates. They are...
100,Arlington Heights Resale Store Cashier,WINGS Program,"The cashier is welcoming and greeting customers, answering basic questions about the stores and the program, and ensuring that our..."
101,Food Pantry Coordinator - The HOPE Center,JOURNEYS | The Road Home,JOURNEYS receives multiple food donations each week. As a food pantry coordinator you can help us maintain our food pantry by accepting...
102,PADS Overnight Shelter Program - Food Donations,JOURNEYS | The Road Home,Do you have a passion for cooking? Do you enjoy preparing meals for large groups? This is the opportunity for you! Each of our 20 PADS...
103,Kitchen Assistant - The HOPE Center,JOURNEYS | The Road Home,The HOPE Center sees many clients on a daily basis. We have the wonderful opportunity to provide a hot meal for our clients at no cost....
104,Front Desk Assistant - The HOPE Center,JOURNEYS | The Road Home,Join our dedicated team of volunteers who are the first to welcome our clients into the HOPE Center. Front Desk Assistants are...
105,Clothing Closet Coordinator - The HOPE Center,JOURNEYS | The Road Home,JOURNEYS receives multiple clothing donations each week. As a clothing closet coordinator you can help us maintain our clothing closet by...
106,Overnight Shelter Volunteer - PADS Program,JOURNEYS | The Road Home,Volunteers are needed to cover the overnight shifts at the various PADS site throughout the regular and summer season! This is a great...
107,Young Professionals Board - JOURNEYS The Road Home,JOURNEYS | The Road Home,Young Professionals Board About JOURNEYS | The Road Home is a non-profit agency providing both shelter and social services to the...
108,Lobby Volunteer at our Domestic Violence Safe House,WINGS Program,Ensure the safety of the Safe House by allowing only appropriate people to enter the Safe House. Lobby volunteer utilizes the intercom...
109,Help Suburban Latinas flee from abuse by being a Level 2 Mentor,WINGS Program,"The Suburban Latina Outreach is a new program offered by WINGS Program Inc., seeking to address the unique needs of the often underserved..."
110,Resale Store Volunteers Orland Park,Crisis Center for South Suburbia,"Volunteers are needed to sort and prepare donations for resale, operate cash register and provide customer service. You must be able to..."
111,Find out how just 3 hours a week can make a difference in the lives of homeless women...,Community Threads,Community Threads is a 100% non-profit resale sale that uses the skills of volunteers to process and merchandise donated goods. We have a...
112,Event Photographer Associate,"Northwest Compass, Inc.","Purpose/Objective: Take, edit and organize high quality photographs at various Northwest Compass community events throughout the year...."
113,Receptionist,"Northwest Compass, Inc.","Purpose/Objective: To welcome clients and visitors, and direct them to the case manager providing the appropriate social services..."
114,Join Our Growing Team of Volunteers!,Community Threads,"Looking to join a community of volunteers who share common goals such as promoting education, eliminating poverty, and providing..."
115,Create your own schedule! Serve court and school hours here,Community Threads,Need to fulfill court-mandated hours? We let you serve ANYTIME the store is open. No need to schedule shifts - just drop in and serve!...
116,"Corporate Group Volunteer Opportunity! Help the Homeless, Educate Children, Protect the...",Community Threads,Community Threads is a 100% non-profit resale store located in the Northwest Suburbs of Chicago. The profits raised by our store benefit...
117,Community Service Hours for Court,Community Threads,Community Threads is a non-profit resale store that uses volunteer labor and donated items to generate funding for homeless women and...
118,"Help the Homeless, Educate Children, Protect the Environment",Community Threads,Community Threads is an upscale thrift store selling quality goods at low prices to customers who rely on thrift to stay out of poverty....
119,Grant Writer,"Northwest Compass, Inc.",Purpose: We are looking for effective grant writers to help us obtain grants to support our mission; to enhance our community by...
120,Marketing Manager,"Northwest Compass, Inc.",This position is designed to provide real work experience that can help build a professional resume. This is a good opportunity to...
121,Fundraising and Development Assistant,"Northwest Compass, Inc.","Purpose/Objective: Team building for groups, youth volunteers and corporations Responsibilities: Compass Crew coordinator will organize..."
122,Cashiers and Customer Service Volunteers!,Community Threads,Come join the cashier and customer service team at Community Threads! We are currently looking for those who enjoy the customer service...
123,We can use YOUR help this season! Help homeless women & children - Volunteer at...,Community Threads,The holiday season is not only a busy time for retail stores- but also for resale stores! Join the volunteer team at Community Threads to...
124,Volunteer and help sort housewares and home goods!,Community Threads,Join the volunteer team at Community Threads and help process items in our housewares and home goods departments! We are so grateful for...
125,Fundraising & Development Manager,"Northwest Compass, Inc.","The Fundraising & Development Manager will be responsible for the identification, cultivation and solicitation of events, campaigns..."
